corpus,qid,label,count,lat,lon
cs,Q602976,Klatovy,14,49.395625338265,13.29508891337
cs,Q1173,Burgundy,14,47,4.5
cs,Q15123956,Bílá hora,14,50.07861,14.31944
cs,Q804395,Blatná,14,49.424977027305,13.881793989077
cs,Q82670,Fiesole,14,43.8,11.3
cs,Q6259,Pavia,14,45.185280555556,9.155
cs,Q1497,Mississippi River,13,29.1536,-89.2508
cs,Q133274,Moscow Kremlin,13,55.751666666666665,37.617777777777775
cs,Q85,Cairo,13,30.044444444444444,31.235833333333332
cs,Q470445,Prostějov,13,49.472222222222,17.110555555556
cs,Q1578621,Radhošť,13,49.491838888889,18.222786111111
cs,Q148928,Zboriv,13,49.661605155854,25.146931109789
cs,Q70,Bern,13,46.94798,7.44743
cs,Q83297166,Pančava,13,50.761334,15.551726
cs,Q83404,Timișoara,13,45.759722222222,21.23
cs,Q1726,Munich,13,48.1375,11.575
cs,Q1597372,Křivoklát,13,50.037939233731,13.870433811577
cs,Q594147,Boubín,13,48.991111111111,13.818333333333
cs,Q16506,České Budějovice,13,48.974722222222,14.474722222222
cs,Q134350,Tisza,13,45.1358,20.2722
cs,Q219,Bulgaria,13,42.75,25.5
cs,Q193369,Prague Castle,13,50.08917,14.39556
cs,Q4127,Lake Constance,13,47.65,9.3166666666667
cs,Q1757438,Samaria,13,32.276111,35.195
cs,Q704800,Mže,13,49.753568,13.390184
cs,Q80413,Novaya Zemlya,13,73.9525,56.348611
cs,Q854608,Bečva,13,49.418655,17.321043
cs,Q20,Norway,13,65,11
cs,Q156080,Opava,13,49.938055555556,17.904444444444
cs,Q156974,Ústí nad Labem,12,50.659166666667,14.041666666667
cs,Q130135,Atlas Mountains,12,31.061944444444446,-7.916111111111111
cs,Q43332,Pompeii,12,40.750556,14.489722
cs,Q222,Albania,12,41,20
cs,Q7596262,Stadice,12,50.616666666667,13.966666666667
cs,Q194242,Sudetenland,12,50.7167,15.0667
cs,Q71,Geneva,12,46.2,6.15
cs,Q79880,Debrecen,12,47.53,21.639166666667
cs,Q157835,Zaporizhzhia,12,47.85,35.1175
cs,Q45094,Svitava,12,49.141654,16.628
cs,Q6514,Dardanelles,12,40.2,26.4
cs,Q38888,Olympia,12,37.638333333333335,21.63
cs,Q25302,Racibórz,12,50.09195,18.21928
cs,Q187471,Ithaca,12,38.416666666667,20.666666666667
cs,Q148998,Ještěd,12,50.732222222222,14.985277777778
cs,Q1126206,Letná,12,50.0957,14.4165
cs,Q1305618,Roncevaux Pass,12,43.01972222,-1.32416667
cs,Q1492,Barcelona,12,41.3825,2.1769444444444
